id,text
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제1조(근로계약기간) [ ] 신규 또는 재입국자 Newcomer or Re-entering employee: 년(Year) 월(Month) 일(Day) ~ 년(Year) 월(Month) 일(Day) / ( ) 개월 month(s)
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제1조(근로계약기간) [ ] 근무처 변경자 Employee who changed workplace: 년(Year) 월(Month) 일(Day) ~ 년(Year) 월(Month) 일(Day) / ( ) 개월 month(s)
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제2조(근로 장소) 농업경영체의 경우 그 사용자의 경영체등록 필지를 말하며, 어업경영체의 경우 해당 경영체의 어업 활동 수행을 위하여 사용되는 장소로서, 허가ㆍ신고된 어장, 양식장, 가두리 등 해상양식시설, 관리선 및 부속ㆍ보조선박, 부두, 육상양식장 등 실제 근로가 이루어지는 장소를 말합니다."
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제2조(근로 장소) 사용자는 근로자를 이 계약서에서 정한 장소 외에서 일하게 해서는 안 됩니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제2조(근로 장소) 근로자는 이 계약서에서 정한 장소 외에서 근로해서는 안 됩니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제2조(근로 장소) 공공형 계절근로 사업자는 사업 운영의 특성 및 현장 여건을 고려하여 근로 장소를 별도로 지정할 수 있습니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제3조(업무내용) 직무내용(란)에는 외국인 계절근로자가 사업장에서 실제 수행하게 될 구체적인 업무를 반드시 상세하게 적습니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제3조(업무내용) 외국인 계절근로자에게 위 업무내용 외의 업무(품목 추가 등)를 하게 하는 경우 해당 근로자와의 협의가 필요합니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제3조(업무내용) 농어업과 관련 없는 업무(육아, 가사 등)는 할 수 없습니다."
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제4조(근로시간) 소정근로요일: 요일 ~ 요일
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제4조(근로시간) 소정근로시간: 시 분 ~ 시 분 - 월 ( )시간
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제4조(근로시간) 근무상황에 따라 당사자 동의를 받아 근로일을 변경할 수 있습니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제4조(근로시간) 농번기ㆍ성어기, 농한기ㆍ어한기, 계절ㆍ기상 요인에 따라 ( )시간 내에서 변경이 가능합니다."
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제5조(휴게시간) 1일 ( )회, ( )시간 ( )분"
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제5조(휴게시간) 기상상황 등에 따라 근로시간 및 휴게시간은 변동될 수 있습니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제6조(휴일) [ ] 주 1회 1 time/week, [ ] 월 4회 4 times/month [ ] 그 밖의 경우 Others ( )"
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제6조(휴일) 휴일은 정기적으로 부여하는 것을 원칙으로 하되, 당사자 간에 협의하여 날짜를 조정할 수 있습니다."
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제7조(임금) 1) 임금 Wage: 원 won [ ]월급 Monthly, [ ]시간급 Hourly, [ ]일급 Daily, [ ]주급 Weekly, 주휴수당 포함 여부 Weekly holiday allowance: [ ]포함 Paid, [ ]미포함 Unpaid"
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제7조(임금) 2) 상여금 및 수당 Bonus or Extra pay: [ ]지급 Paid (상여금 Bonus: 원 won, 수당 Extra pay: 원 won), [ ]미지급 Unpaid, 근로시간에서 정한 시간을 넘는 연장근로에 대해 시간당 ( )원을 지급합니다."
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제7조(임금) 야간근로(그날 22:00~다음 날 06:00)에 대해서는 통상임금의 50%를 가산임금으로 지급해야 합니다(상시근로자 4명 이하 사업장에는 해당되지 않습니다).
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제8조(임금 지급일) ( ) 부터 ( ) 까지* 계산하여 [ ] 그 달 / [ ] 그 다음 달 ( )일 또는 [ ] 그 주 / [ ] 그 다음 주 ( )요일에 지급
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제8조(임금 지급일) 임금 지급일이 공휴일인 경우 전날에 지급합니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제9조(임금 지급방법) 근로자 명의 통장에 임금 전액을 직접 입금합니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제9조(임금 지급방법) 사용자는 근로자 명의로 된 예금통장 및 도장을 관리해서는 안 됩니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제10조(숙식 제공) 1) 숙박시설 제공 Provision of Accommodations: [ ]제공 Provided, [ ]미제공 Not provided, 제공 시, 숙박시설의 유형, 근로자 부담금액: 매월 원"
표절 계절근로계약서([ ] 농업 [ ] 어업 분야),"제10조(숙식 제공) 2) 식사 제공 Provision of Meals: [ ]제공 Provided, [ ]미제공 Not provided, 제공 시, 근로자 부담금액: 매월 원"
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제10조(숙식 제공) 숙식비는 숙소 시설 종류 및 식사 제공 유무에 따라 월 20% 범위에서 공제가 가능합니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제10조(숙식 제공) 근로자의 비용 부담 수준은 사용자와 근로자 간 협의에 따라 별도로 결정합니다. 신규 또는 재입국자인 근로자의 경우 입국 이후에 사용자와 협의합니다.
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제11조(사용자 안전의무) 사용자는 산업 안전ㆍ보건조치 등 근로자 안전에 관한 의무사항을 준수해야 하며, 근로자는 「산업안전보건법」 및 「근로기준법」에 따른 사용자의 정당한 지시에 따라야 합니다."
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),"제12조(성실의무) 사용자와 근로자는 근로계약, 취업규칙, 단체협약을 지키고 성실하게 이행해야 합니다."
표준 계절근로계약서([ ] 농업 [ ] 어업 분야),제13조(준용) 연차유급휴가 등 이 계약에서 정하지 않은 사항은 「근로기준법」에서 정하는 바에 따릅니다.
표준근로계약서,제1조(근로계약기간) 1항 신규 또는 재입국자는 지정된 개월 수만큼 계약한다.
표준근로계약서,제1조(근로계약기간) 2항 사업장변경자는 명시된 기간 동안 계약한다.
표준근로계약서,"제1조(근로계약기간) 3항 수습기간을 활용하거나 활용하지 않으며, 활용 시 기간을 명시한다."
표준근로계약서,제2조(근로장소) 1항 근로자를 이 계약서에서 정한 장소 외에서 근로하게 해서는 안 된다.
표준근로계약서,"제3조(업무내용) 1항 업종, 사업내용, 직무내용을 기재하며 외국인근로자가 사업장에서 수행할 구체적인 업무를 반드시 기재해야 한다."
표준근로계약서,"제4조(근로시간) 1항 근무 시작 시간과 종료 시간을 명시하고, 1일 평균 시간외 근로시간 및 교대제 여부를 기재한다."
표준근로계약서,제5조(휴게시간) 1항 1일 휴게 시간을 분 단위로 기재한다.
표준근로계약서,"제6조(휴일) 1항 일요일, 공휴일, 매주 또는 격주 토요일 등 휴일을 지정한다."
표준근로계약서,"제7조(임금) 1항 월 통상임금, 기본급, 고정적 수당, 상여금을 기재하며 수습기간 중 임금을 명시한다."
표준근로계약서,"제7조(임금) 2항 연장, 야간, 휴일근로에 대해서는 통상임금의 50%를 가산하여 수당을 지급한다(상시근로자 4인 이하 사업장 제외)."
표준근로계약서,"제8조(임금지급일) 1항 매월 지정된 일자 또는 매주 요일에 지급하며, 지급일이 공휴일인 경우 전날에 지급한다."
표준근로계약서,"제9조(지급방법) 1항 직접 지급 또는 통장 입금 중 선택하며, 사용자는 근로자 명의의 예금통장 및 도장을 관리해서는 안 된다."
표준근로계약서,"제10조(숙식제공) 1항 숙박시설 제공 여부와 유형, 근로자 부담금을 명시한다."
표준근로계약서,"제10조(숙식제공) 2항 식사 제공 여부와 제공 형태(조식, 중식, 석식), 근로자 부담금을 명시한다."
표준근로계약서,"제11조(의무) 1항 사용자와 근로자는 각자가 근로계약, 취업규칙, 단체협약을 지키고 성실하게 이행해야 한다."
표준근로계약서,"제12조(준용규정) 1항 이 계약에서 정하지 않은 사항은 근로기준법에서 정하는 바에 따르며, 가사서비스업 및 개인간병인은 별도 계약 체결이 가능하다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),1. 근로계약기간 1항 신규 또는 재입국자는 개월수를 기입한다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),1. 근로계약기간 2항 사업장변경자는 년 월 일 ~ 년 월 일까지로 한다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),1. 근로계약기간 3항 수습기간은 활용([ ]1개월 [ ]2개월 [ ]3개월) 또는 미활용을 선택한다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),2. 근로장소 1항 근로자를 이 계약서에서 정한 장소 외에서 근로하게 해서는 안 된다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"3. 업무내용 1항 업종, 사업내용, 직무내용을 상세하게 기재한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),4. 근로시간 1항 정규 근무시간은 시 분 ~ 시 분이며 월 근로시간은 시간으로 한다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"4. 근로시간 2항 농번기, 농한기, 계절 및 기상 요인에 따라 시간 내에서 변경이 가능하다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"5. 휴게시간 1항 1일 ( )회, ( )시간 ( )분으로 한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"6. 휴일 1항 주1회, 월1회, 월2회, 월3회, 기타 중 선택하며 당사자 협의 하에 날짜 조정이 가능하다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),6. 휴일 2항 농번기(성어기)의 휴일을 별도로 지정한다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"7. 임금 1항 월급, 시간급, 일급, 주급 중 선택하여 금액을 기입한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),7. 임금 2항 상여금 및 수당 지급 여부를 기입한다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),7. 임금 3항 수습기간 중 임금 및 수습시작일부터 3개월 이내 근무기간 임금을 기입한다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"7. 임금 4항 근로시간을 넘는 연장근로에 대해 시간당 금액을 지급하며, 야간근로(22:00~06:00)는 통상임금의 50%를 가산하여 지급한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"8. 임금 지급일 1항 매월 지정일 또는 매주 지정 요일에 지급하며, 공휴일인 경우 전날에 지급한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),9. 지급방법 1항 직접 지급 또는 통장 입금 방식 중 선택하며 사용자는 근로자 명의의 통장 및 도장을 관리해서는 안 된다.
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"10. 숙식제공 1항 숙박시설 제공 여부 및 유형, 근로자 부담금액을 기입한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"10. 숙식제공 2항 식사 제공 여부(조식, 중식, 석식) 및 근로자 부담금액을 기입한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),"11. 준수사항 1항 사용자와 근로자는 각자가 근로계약, 취업규칙, 단체협약을 지키고 성실하게 이행해야 한다."
표준근로계약서(농업ㆍ축산업ㆍ어업 분야),12. 기타사항 1항 이 계약에서 정하지 않은 사항은 근로기준법에서 정하는 바에 따른다.
대중문화예술분야 연습생 표준계약서,"제1조 ① 이 계약의 목적은 기획업자와 연습생이 상호 발전을 위해 적극적으로 협력하는 것을 전제로, 기획업자는 연습생의 재능과 자질이 최대한 발휘될 수 있도록 훈련제공 등의 투자를 하며, 연습생은 기획업자가 제공하는 훈련 등에 충실히 임하고 자기개발을 위해 노력함으로써 상호 발전과 이익을 도모하는 데 있다."
대중문화예술분야 연습생 표준계약서,제1조 ② 이 계약에서 “연습생”이란 대중문화예술용역을 제공할 의사를 가지고 대중문화예술인의 직업수행에 필요한 능력의 습득·향상을 목적으로 하는 훈련을 제공받기 위하여 기획업자와 계약을 체결하는 사람을 말한다.
대중문화예술분야 연습생 표준계약서,제2조 ① 이 계약의 계약기간은 ____년 ____월 ____일부터 ____년 ____월 ____일까지 (____년 ____개월)로 한다.
대중문화예술분야 연습생 표준계약서,제2조 ② 제1항에 따른 계약기간은 3년을 초과할 수 없다.
대중문화예술분야 연습생 표준계약서,제2조 ③ 이 계약의 적용범위는 대한민국을 포함한 전 세계 지역으로 한다.
대중문화예술분야 연습생 표준계약서,"제3조 ① 기획업자는 연습생이 대중문화예술인으로 성장하는 데 필요한 훈련(예를 들어, 연기, 보컬, 안무 등을 말하며, 이하 ‘훈련활동’이라 한다)을 연습생에게 제공하며, 이 계약에 따른 연습생의 의무를 성실히 이행할 것을 연습생에게 요청할 수 있다."
대중문화예술분야 연습생 표준계약서,"제3조 ② 기획업자는 이 계약에 따른 연습생의 의무 이외에 연습생의 사생활이나 인격권을 침해하거나 침해할 우려가 있는 행위를 요구하여서는 아니 되며, 부당한 금품을 요구하여서는 아니 된다."
대중문화예술분야 연습생 표준계약서,제3조 ③ 기획업자는 이 계약에 따른 연습생의 훈련활동을 제3자가 침해하거나 방해하는 경우 그 침해나 방해를 배제하기 위해 필요한 조치를 취하여야 한다.
대중문화예술분야 연습생 표준계약서,"제3조 ④ 기획업자는 연습생에게 우울증세 등이 발견될 경우, 연습생의 동의하에 적절한 치료 등을 지원할 수 있다."
대중문화예술분야 연습생 표준계약서,제3조 ⑤ 기획업자는 연습생의 사전 서면동의를 얻은 후 이 계약상 권리 또는 지위의 전부 또는 일부를 제3자에게 양도할 수 있다.
대중문화예술분야 연습생 표준계약서,"제4조 ① 연습생은 기획업자가 제공하는 훈련활동에 충실히 임해야 하며, 훈련활동 관련 일 등의 제반사항을 준수하여야 한다."
대중문화예술분야 연습생 표준계약서,"제4조 ② 연습생은 계약기간 중 기획업자의 사전 동의 없이 제3자와 이 계약과 동일하거나 유사한 계약 또는 대중문화예술과 관련된 계약(대중문화예술용역 제공계약, 대중문화예술용역 제공의 알선계약 및 전속계약)을 체결하는 등 이 계약을 부당하게 파기 또는 침해하는 행위를 하여서는 아니 된다."
대중문화예술분야 연습생 표준계약서,"제4조 ③ 연습생은 법적으로 또는 사회상규 상 금지되는 행위(예를 들어 마약류의 복용·판매, 성범죄, 폭행, 도박, 음주운전 등)를 하여서는 아니 된다."
대중문화예술분야 연습생 표준계약서,"제4조 ④ 연습생은 기획업자에게 언제든지 자신의 의견을 제시할 수 있고, 이 계약에 따른 기획업자의 의무를 성실히 이행할 것을 기획업자에게 요청할 수 있다."
대중문화예술분야 연습생 표준계약서,제4조 ⑤ 연습생은 기획업자가 제3조 제2항의 규정에도 불구하고 부당한 요구를 하는 경우에는 이를 거부할 수 있다.
대중문화예술분야 연습생 표준계약서,제5조 ① 기획업자는 연습생의 훈련활동에 소요된 직접비용(이하 ‘훈련활동직접비’라 한다)을 연습생별로 분리하여 계상·관리하고 회계장부를 따로 작성하여야 한다.
대중문화예술분야 연습생 표준계약서,"제5조 ② 훈련활동직접비의 범위는 기획업자와 연습생이 상호 협의하여 정한다. 단, 훈련활동직접비에는 기획업자의 경영활동을 위한 비용을 포함할 수 없다."
대중문화예술분야 연습생 표준계약서,"제5조 ③ 2인 이상의 연습생에게 동시에 투자된 비용의 경우(예를 들어 단체훈련 등), 연습생별로 균등 배분하여 적용하는 것을 원칙으로 하되, 해당 연습생의 동의를 받아서 달리 적용할 수 있다."
대중문화예술분야 연습생 표준계약서,"제5조 ④ 기획업자는 연습생에게 훈련활동직접비 회계내역을 연 2회(__월, __월) 통보하여야 한다."
